lc,lr,hc,ln,ang,pk,gw,is_gw,iso,ld
csr,Americas,CR,Costa Rican Sign Language,Costa Rican Sign Language,1361,es-419,False,csr,ltr
css,Americas,US,Southern Ohlone,"Ohlone, Southern",1362,en,False,css,ltr
cst,Americas,US,Northern Ohlone,"Ohlone, Northern",1363,en,False,cst,ltr
csv,Asia,MM,Sumtu Chin,"Chin, Sumtu",1364,my,False,csv,ltr
csw,Americas,CA,Swampy Cree,"Cree, Swampy",1365,en,False,csw,ltr
csy,Asia,MM,Siyin Chin,"Chin, Siyin",1366,my,False,csy,ltr
csz,Americas,US,Coos,Coos,1367,en,False,csz,ltr
cta,Americas,MX,Tataltepec Chatino,"Chatino, Tataltepec",1368,es-419,False,cta,ltr
ctc,Americas,US,Chetco,Chetco,1369,en,False,ctc,ltr
ctd,Asia,MM,Tedim Chin,"Chin, Tedim",1370,my,False,ctd,ltr
cte,Americas,MX,Tepinapa Chinantec,"Chinantec, Tepinapa",1371,es-419,False,cte,ltr
ctg,Asia,BD,Chittagonian,Chittagonian,1372,bn,False,ctg,ltr
cth,Asia,MM,Thaiphum Chin,"Chin, Thaiphum",1373,my,False,cth,ltr
ctl,Americas,MX,Tlacoatzintepec Chinantec,"Chinantec, Tlacoatzintepec",1374,es-419,False,ctl,ltr
ctm,Americas,US,Chitimacha,Chitimacha,1375,en,False,ctm,ltr
ctn,Asia,NP,छिन्ताङ्,Chhintang,1376,ne,False,ctn,ltr
cto,Americas,CO,Emberá-Catío,Emberá-Catío,1377,es-419,False,cto,ltr
ctp,Americas,MX,Western Highland Chatino,"Chatino, Western Highland",1378,es-419,False,ctp,ltr
cts,Asia,PH,Northern Catanduanes Bikol,"Bikol, Northern Catanduanes",1379,en,False,cts,ltr
cts-x-pangyan,Asia,PH,Pangyan,,7861,tl,False,UNKNOWN,ltr
ctt,Asia,IN,Wayanad Chetti,"Chetti, Wayanad",1380,ta,False,ctt,ltr
ctu,Americas,MX,Chol,Chol,1381,es-419,False,ctu,ltr
ctz,Americas,MX,Zacatepec Chatino,"Chatino, Zacatepec",1382,es-419,False,ctz,ltr
cu,Europe,RU,ѩзыкъ словѣньскъ,"Old Church Slavonic, Church Slavonic, Old Bulgarian",1383,ru,False,chu,ltr
cua,Asia,VN,Tiếng Co,Cua,1384,vi,False,cua,ltr
cub,Americas,CO,Cubeo,Cubeo,1385,es-419,False,cub,ltr
cuc,Americas,MX,Usila Chinantec,"Chinantec, Usila",1386,es-419,False,cuc,ltr
cug,Africa,CM,Cung,Cung,1387,fr,False,cug,ltr
cuh,Africa,KE,Chuka,Gichuka,1388,sw,False,cuh,ltr
cui,Americas,CO,Cuiba,Cuiba,1389,es-419,False,cui,ltr
cuj,Americas,PE,Mashco Piro,Mashco Piro,1390,es-419,False,cuj,ltr
cuk,Americas,PA,San Blas Kuna,"Kuna, San Blas",1391,es-419,False,cuk,ltr
cul,Americas,BR,Culina,Kulina,1392,pt,False,cul,ltr
cuo,Americas,VE,Cumanagoto,Cumanagoto,1393,es-419,False,cuo,ltr
cup,Americas,US,Cupeño,Cupeño,1394,en,False,cup,ltr
cuq,Asia,CN,仡隆語,Cun,1395,zh,False,cuq,ltr
cur,Asia,NP,Chhulung,Chhulung,1396,ne,False,cur,ltr
cut,Americas,MX,Teutila Cuicatec,"Cuicatec, Teutila",1397,es-419,False,cut,ltr
cuu,Asia,CN,傣雅语,Tai Ya,1398,zh,False,cuu,ltr
cuv,Africa,CM,Cuvok,Cuvok,1399,fr,False,cuv,ltr
cuw,Asia,NP,Chukwa,Chukwa,1400,ne,False,cuw,ltr
cux,Americas,MX,Tepeuxila Cuicatec,"Cuicatec, Tepeuxila",1401,es-419,False,cux,ltr
cv,Europe,RU,чӑваш чӗлхи,Chuvash,1402,ru,False,chv,ltr
cvg,Asia,IN,Chug,Chug,1403,as,False,cvg,ltr
cvn,Americas,MX,Valle Nacional Chinantec,"Chinantec, Valle Nacional",1404,es-419,False,cvn,ltr
cwa,Africa,TZ,Kabwa,Kabwa,1405,sw,False,cwa,ltr
cwb,Africa,MZ,Maindo,Maindo,1406,pt,False,cwb,ltr
cwd,Americas,CA,Woods Cree,"Cree, Woods",1407,en,False,cwd,ltr
cwe,Africa,TZ,Kwere,Kwere,1408,sw,False,cwe,ltr
cwg,Asia,MY,Chewong,Cheq Wong,1409,ms,False,cwg,ltr
cwt,Africa,SN,Kuwaataay,Kuwaataay,1410,fr,False,cwt,ltr
cy,Europe,GB,Cymraeg,Welsh,1411,en,False,cym,ltr
cya,Americas,MX,Nopala Chatino,"Chatino, Nopala",1412,es-419,False,cya,ltr
cyb,Americas,BO,Cayubaba,Cayubaba,1413,es-419,False,cyb,ltr
cyo,Asia,PH,Cuyonon,Cuyonon,1414,en,False,cyo,ltr
czh,Asia,CN,徽州话,"Chinese, Huizhou",1415,zh,False,czh,ltr
czk,Europe,CZ,Knaanic,Knaanic,1416,,False,czk,ltr
czn,Americas,MX,Zenzontepec Chatino,"Chatino, Zenzontepec",1417,es-419,False,czn,ltr
czo,Asia,CN,闽中语,"Chinese, Min Zhong",1418,zh,False,czo,ltr
czt,Asia,MM,Zotung Chin,"Chin, Zotung",1419,my,False,czt,ltr
da,Europe,DK,dansk,Danish,1420,en,False,dan,ltr
daa,Africa,TD,Dangaléat,Dangaléat,1421,ar,False,daa,ltr
dac,Pacific,PG,Dambi,Dambi,1422,tpi,False,dac,ltr
dad,Pacific,PG,Marik,Marik,1423,tpi,False,dad,ltr
dad-x-lagogen,Pacific,PG,Lagogen,Lagogen,8670,tpi,False,UNKNOWN,ltr
dae,Africa,CM,Duupa,Duupa,1424,fr,False,dae,ltr
dag,Africa,GH,Dagbani,Dagbani,1425,en,False,dag,ltr
dah,Pacific,PG,Gwahatike,Gwahatike,1426,tpi,False,dah,ltr
dai,Africa,TD,Day,Day,1427,ar,False,dai,ltr
daj,Africa,SD,Dar Fur Daju,"Daju, Dar Fur",1428,ar,False,daj,ltr
dak,Americas,US,Dakota,Dakota,1429,en,False,dak,ltr
dal,Africa,KE,Dahalo,Dahalo,1430,sw,False,dal,ltr
dam,Africa,NG,Damakawa,Damakawa,1431,en,False,dam,ltr
dao,Asia,MM,Daai Chin,"Chin, Daai",1432,my,False,dao,ltr
dao-x-yindu,Asia,MM,Daa Yin Du,,7536,my,False,UNKNOWN,ltr
daq,Asia,IN,Dandami Maria,"Maria, Dandami",1433,hne,False,daq,ltr
dar,Europe,RU,Даргинский,Dargwa,1434,ru,False,dar,ltr
das,Africa,CI,Daho-Doo,Daho-Doo,1435,fr,False,das,ltr
dau,Africa,TD,Dar Sila Daju,"Daju, Dar Sila",1436,ar,False,dau,ltr
dav,Africa,KE,Taita,Dawida,1437,sw,False,dav,ltr
daw,Asia,PH,Davawenyo,Davawenyo,1438,ceb,False,daw,ltr
dax,Pacific,AU,Dayi,Dayi,1439,en,False,dax,ltr
day-x-dayakmali,Asia,ID,Dayak Mali,,7946,id,False,UNKNOWN,ltr
day-x-dayaksambas,Asia,ID,Dayak Sambas,,7947,id,False,UNKNOWN,ltr
daz,Asia,ID,Dao,Dao,1440,id,False,daz,ltr
dba,Africa,ML,Bangime,Bangime,1441,fr,False,dba,ltr
dbb,Africa,NG,Deno,Deno,1442,en,False,dbb,ltr
dbd,Africa,NG,Dadiya,Dadiya,1443,en,False,dbd,ltr
dbe,Asia,ID,Dabe,Dabe,1444,id,False,dbe,ltr
dbf,Asia,ID,Edopi,Edopi,1445,id,False,dbf,ltr
dbg,Africa,ML,Dogul Dom Dogon,"Dogon, Dogul Dom",1446,fr,False,dbg,ltr
dbi,Africa,NG,Doka,Doka,1447,en,False,dbi,ltr
dbj,Asia,MY,Ida'an,Ida’an,1448,ms,False,dbj,ltr
dbl,Pacific,AU,Dyirbal,Dyirbal,1449,en,False,dbl,ltr
dbm,Africa,NG,Duguri,Duguri,1450,en,False,dbm,ltr
dbn,Asia,ID,Duriankere,Duriankere,1451,id,False,dbn,ltr
dbo,Africa,NG,Dulbu,Dulbu,1452,en,False,dbo,ltr
dbp,Africa,NG,Duwai,Duwai,1453,en,False,dbp,ltr
dbq,Africa,CM,Daba,Daba,1454,fr,False,dbq,ltr
dbr,Africa,SO,Dabarre,Dabarre,1455,ar,False,dbr,ltr
dbt,Africa,ML,Ben Tey Dogon,"Dogon, Ben Tey",1456,fr,False,dbt,ltr
dbu,Africa,ML,Bondum Dom Dogon,"Dogon, Bondum Dom",1457,fr,False,dbu,ltr
dbv,Africa,NG,Dungu,Dungu,1458,en,False,dbv,ltr
dbw,Africa,ML,Bankan Tey Dogon,"Dogon, Bankan Tey",1459,fr,False,dbw,ltr
dby,Pacific,PG,Dibiyaso,Dibiyaso,1460,tpi,False,dby,ltr
dcc,Asia,IN,Deccan,Deccan,1461,ur,False,dcc,ltr
dda,Pacific,AU,Dadi Dadi,Dadi Dadi,1462,en,False,dda,ltr
ddd,Africa,SS,Dongotono,Dongotono,1463,ar,False,ddd,ltr
dde,Africa,CG,Doondo,Doondo,1464,fr,False,dde,ltr
ddg,Asia,TL,Fataluku,Fataluku,1465,pt,False,ddg,ltr
ddi,Pacific,PG,West Goodenough,"Goodenough, West",1466,tpi,False,ddi,ltr
ddi-x-amoli,Pacific,PG,Amoli,,7720,tpi,False,UNKNOWN,ltr
ddj,Pacific,PG,Jaru,Jaru,1467,en,False,ddj,ltr
ddn,Africa,BJ,Dendi (Benin),Dendi,1468,fr,False,ddn,ltr
ddo,Europe,RU,цезйас мец,Tsez,1469,ru,False,ddo,ltr
ddr,Pacific,AU,Dhudhuroa,Dhudhuroa,1470,,False,ddr,ltr
dds,Africa,ML,Donno So Dogon,"Dogon, Donno So",1471,fr,False,dds,ltr
ddw,Asia,ID,Dawera-Daweloor,Dawera-Daweloor,1472,id,False,ddw,ltr
de,Europe,DE,Deutsch,German,1473,en,False,deu,ltr
dec,Africa,SD,Dagik,Dagik,1474,apd,False,dec,ltr
ded,Pacific,PG,Dedua,Dedua,1475,tpi,False,ded,ltr
dee,Africa,LR,Dewoin,Dewoin,1476,en,False,dee,ltr
def,Asia,IR,گویش دزفولی,Dezfuli,1477,fa,False,def,ltr
deg,Africa,NG,Degema,Degema,1478,en,False,deg,ltr
deh,Asia,PK,Dehwari,Dehwari,1479,ur,False,deh,ltr
dei,Asia,ID,Demisa,Demisa,1480,id,False,dei,ltr
dek,Africa,CM,Dek,Dek,1481,fr,False,dek,ltr
del,Americas,US,Delaware,Delaware,1482,,False,del,ltr
dem,Asia,ID,Dem,Dem,1483,id,False,dem,ltr
den,Americas,CA,Slave (Athapascan),Slavey,1484,,False,den,ltr
deq,Africa,CF,Dendi (Central African Republic),Dendi,1485,fr,False,deq,ltr
der,Asia,IN,Deori,Deori,1486,as,False,der,ltr
des,Americas,BR,Desano,Desano,1487,pt,False,des,ltr
dev,Pacific,PG,Domung,Domung,1488,tpi,False,dev,ltr
dez,Africa,CD,Dengese,Dengese,1489,fr,False,dez,ltr
dga,Africa,GH,Southern Dagaare,"Dagaare, Southern",1490,en,False,dga,ltr
dgb,Africa,ML,Bunoge Dogon,"Dogon, Bunoge",1491,fr,False,dgb,ltr
dgc,Asia,PH,Casiguran Dumagat Agta,"Agta, Casiguran Dumagat",1492,ilo,False,dgc,ltr
dgc-x-agtaquirino,Asia,PH,Agta-Quirino,,7863,ilo,False,UNKNOWN,ltr
dgc-x-dinapigue,Asia,PH,Dinapigue Agta,,7814,ilo,False,UNKNOWN,ltr
dgd,Africa,BF,Dagaari Dioula,Dagaari Dioula,1493,fr,False,dgd,ltr
dge,Pacific,PG,Degenan,Degenan,1494,tpi,False,dge,ltr
dgg,Pacific,PG,Doga,Doga,1495,tpi,False,dgg,ltr
dgh,Africa,NG,Dghwede,Dghwede,1496,en,False,dgh,ltr
dgi,Africa,BF,Northern Dagara,"Dagara, Northern",1497,fr,False,dgi,ltr
dgk,Africa,CF,Dagba,Dagba,1498,fr,False,dgk,ltr
dgl,Africa,SD,Andaandi,Andaandi,1499,ar,False,dgl,ltr
dgo,Asia,IN,Dogri (individual language),Dogri,1500,ur,False,dgo,ltr
dgr,Americas,CA,Dogrib,Dogrib,1501,en,False,dgr,ltr
dgs,Africa,BF,Dogoso,Dogoso,1502,fr,False,dgs,ltr
dgu,Asia,IN,Degaru,Degaru,1503,bn,False,dgu,ltr
dgw,Pacific,AU,Daungwurrung,Daungwurrung,1504,en,False,dgw,ltr
dgx,Pacific,PG,Doghoro,Doghoro,1505,tpi,False,dgx,ltr
dgz,Pacific,PG,Daga,Daga,1506,tpi,False,dgz,ltr
dhd,Asia,IN,Dhundari,Dhundari,1507,raj,False,dhd,ltr
dhd-x-sindoli,Asia,IN,Sindoli,,7650,raj,False,UNKNOWN,ltr
dhg,Pacific,AU,Dhangu,Djangu,1508,en,False,dhg,ltr
dhi,Asia,NP,धिमाल,Dhimal,1509,ne,False,dhi,ltr
dhl,Pacific,AU,Dhalandji,Dhalandji,1510,en,False,dhl,ltr
dhm,Africa,AO,Zemba,Dhimba,1511,pt,False,dhm,ltr
dhn,Asia,IN,Dhanki,Dhanki,1512,gu,False,dhn,ltr
dho,Asia,IN,Dhodia,Dhodia,1513,gu,False,dho,ltr
dhr,Pacific,AU,Dhargari,Dhargari,1514,en,False,dhr,ltr
dhs,Africa,TZ,Dhaiso,Dhaiso,1515,sw,False,dhs,ltr
dhv,Pacific,NC,Dehu,Drehu,1516,en,False,dhv,ltr
dhw,Asia,NP,Dhanwar (Nepal),Danuwar,1517,ne,False,dhw,ltr
dhx,Pacific,AU,Dhungaloo,Dhungaloo,1518,en,False,dhx,ltr
dia,Pacific,PG,Dia,Dia,1519,tpi,False,dia,ltr
dib,Africa,SS,South Central Dinka,"Dinka, South Central",1520,ar,False,dib,ltr
dic,Africa,CI,Lakota Dida,"Dida, Lakota",1521,fr,False,dic,ltr
did,Africa,SS,Didinga,Didinga,1522,ar,False,did,ltr
dif,Pacific,AU,Dieri,Dieri,1523,en,False,dif,ltr
dig,Africa,KE,Digo,Chidigo,1524,sw,False,dig,ltr
dih,Americas,MX,Kumiai,Kumiai,1525,es-419,False,dih,ltr
dii,Africa,CM,Dimbong,Dimbong,1526,fr,False,dii,ltr
dij,Asia,ID,Dai,Dai,1527,id,False,dij,ltr
dik,Africa,SS,Southwestern Dinka,"Dinka, Southwestern",1528,ar,False,dik,ltr
dil,Africa,SD,Dilling,Dilling,1529,ar,False,dil,ltr
dim,Africa,ET,Dime,Dime,1530,am,False,dim,ltr
din,Africa,SS,Dinka,Dinka,1531,en,False,din,ltr
dio,Africa,NG,Dibo,Dibo,1532,en,False,dio,ltr
dip,Africa,SS,Northeastern Dinka,"Dinka, Northeastern",1533,ar,False,dip,ltr
diq,Asia,TR,Dimli (individual language),"Zazaki, Southern",1534,tr,False,diq,ltr
dir,Africa,NG,Dirim,Dirim,1535,en,False,dir,ltr
dis,Asia,IN,Dimasa,Dimasa,1536,as,False,dis,ltr
diu,Africa,NA,Diriku,Diriku,1537,en,False,diu,ltr
diw,Africa,SS,Northwestern Dinka,"Dinka, Northwestern",1538,ar,False,diw,ltr
dix,Pacific,VU,Dixon Reef,Dixon Reef,1539,fr,False,dix,ltr
diy,Asia,ID,Diuwe,Diuwe,1540,id,False,diy,ltr
diz,Africa,CD,Ding,Ding,1541,fr,False,diz,ltr
diz-x-kidikidiki,Africa,CD,Kidikidiki,,7799,fr,False,UNKNOWN,ltr
djb,Pacific,AU,Djinba,Djinba,1542,en,False,djb,ltr
djc,Africa,TD,Dar Daju Daju,"Daju, Dar Daju",1543,ar,False,djc,ltr
djd,Pacific,AU,Djamindjung,Djamindjung,1544,en,False,djd,ltr
dje,Africa,NE,Zarma,Zarma,1545,fr,False,dje,ltr
dji,Pacific,AU,Djinang,Djinang,1546,en,False,dji,ltr
djj,Pacific,AU,Djeebbana,Djeebbana,1547,en,False,djj,ltr
djk,Americas,SR,Eastern Maroon Creole,Aukan,1548,nl,False,djk,ltr
djm,Africa,ML,Jamsay Dogon,"Dogon, Jamsay",1549,fr,False,djm,ltr
djn,Pacific,AU,Djauan,Djauan,1550,en,False,djn,ltr
djo,Asia,ID,Jangkang,Jangkang,1551,id,False,djo,ltr
djo-x-dayakbaeih,Asia,ID,Dayak Ba eih,Dayak Ba eih,8105,id,False,UNKNOWN,ltr
djo-x-dayakdarok,Asia,ID,Dayak Darok,Dayak Darok,8109,id,False,UNKNOWN,ltr
djo-x-dayakkodatn,Asia,ID,Dayak Kodatn,Dayak Kodatn,8092,id,False,UNKNOWN,ltr
djo-x-dayakpapak,Asia,ID,Dayak Papak,,8016,,False,UNKNOWN,ltr
djo-x-dayaksum,Asia,ID,Dayak Sum,Dayak Sum,8089,id,False,UNKNOWN,ltr
djo-x-dayaktinying,Asia,ID,Dayak Tinying,Dayak Tinying,8046,id,False,UNKNOWN,ltr
djo-x-meranggau,Asia,ID,Dayak Meranggau,Dayak Meranggau,8166,id,False,UNKNOWN,ltr
djo-x-pompang,Asia,ID,Dayak Pompang,Dayak Pompang,8164,id,False,UNKNOWN,ltr
djr,Pacific,AU,Djambarrpuyngu,Djambarrpuyngu,1552,en,False,djr,ltr
dju,Pacific,PG,Kapriman,Kapriman,1553,tpi,False,dju,ltr
dka,Asia,BT,Dakpakha,Dakpakha,1554,dz,False,dka,ltr
dkk,Asia,ID,Dakka,Dakka,1555,id,False,dkk,ltr
dkr,Asia,MY,Kuijau,Kuijau,1556,ms,False,dkr,ltr
dks,Africa,SS,Southeastern Dinka,"Dinka, Southeastern",1557,ar,False,dks,ltr
dkx,Africa,CM,Mazagway,Mazagway,1558,fr,False,dkx,ltr
dlg,Europe,RU,Долганский,Dolgan,1559,ru,False,dlg,ltr
dlk,Africa,ER,Dahalik,Dahalik,1560,ar,False,dlk,ltr
dlm,Europe,HR,Dalmatian,Dalmatian,1561,,False,dlm,ltr
dln,Asia,IN,Darlong,Darlong,1562,as,False,dln,ltr
dma,Africa,GA,Duma,Duma,1563,fr,False,dma,ltr
dmb,Africa,ML,Mombo Dogon,"Dogon, Mombo",1564,fr,False,dmb,ltr
dmc,Pacific,PG,Gavak,Gavak,1565,tpi,False,dmc,ltr
dme,Africa,CM,Dugwor,Dugwor,1566,fr,False,dme,ltr
dmg,Asia,MY,Upper Kinabatangan,"Kinabatangan, Upper",1567,ms,False,dmg,ltr
dmk,Asia,PK,ڈوماکی,Domaaki,1568,ur,False,dmk,ltr
dml,Asia,PK,دامیڑی,Dameli,1569,ur,False,dml,ltr
dmm,Africa,CM,Dama,Dama,1570,fr,False,dmm,ltr
dmo,Africa,CM,Kemezung,Kemedzung,1571,fr,False,dmo,ltr
dmr,Asia,ID,East Damar,"Damar, East",1572,id,False,dmr,ltr
dms,Asia,ID,Dampelas,Dampelas,1573,id,False,dms,ltr
dmu,Asia,ID,Dubu,Tebi,1574,id,False,dmu,ltr
dmv,Asia,MY,Dumpas,Dumpas,1575,ms,False,dmv,ltr
dmw,Pacific,AU,Mudburra,Mudburra,1576,en,False,dmw,ltr
dmx,Africa,MZ,Dema,Dema,1577,pt,False,dmx,ltr
dmy,Asia,ID,Demta,Sowari,1578,id,False,dmy,ltr
dna,Asia,ID,Upper Grand Valley Dani,"Dani, Upper Grand Valley",1579,id,False,dna,ltr
dnd,Pacific,PG,Daonda,Daonda,1580,tpi,False,dnd,ltr
dne,Africa,TZ,Ndendeule,Ndendeule,1581,sw,False,dne,ltr
dng,Asia,KG,Dungan,Dungan,1582,ru,False,dng,ltr
dni,Asia,ID,Lower Grand Valley Dani,"Dani, Lower Grand Valley",1583,id,False,dni,ltr
dnj,Africa,CI,Dan,Dan,1584,fr,False,dnj,ltr
dnk,Asia,ID,Dengka,Dengka,1585,id,False,dnk,ltr
dnn,Africa,BF,Dzùùngoo,Dzùùngoo,1586,fr,False,dnn,ltr
dnr,Pacific,PG,Danaru,Danaru,1587,tpi,False,dnr,ltr
dnr-x-kuaa,Pacific,PG,Kuaa,Kuaa,8669,tpi,False,UNKNOWN,ltr
dnt,Asia,ID,Mid Grand Valley Dani,"Dani, Mid Grand Valley",1588,id,False,dnt,ltr
dnu,Asia,MM,Danau,Danau,1589,my,False,dnu,ltr
dnv,Asia,MM,Danu,Danu,1590,my,False,dnv,ltr
dnw,Asia,ID,Western Dani,"Dani, Western",1591,id,False,dnw,ltr
dny,Americas,BR,Dení,Dení,1592,pt,False,dny,ltr
doa,Pacific,PG,Dom,Dom,1593,tpi,False,doa,ltr
dob,Pacific,PG,Dobu,Dobu,1594,tpi,False,dob,ltr
dob-x-gosiya,Pacific,PG,Gosiya,Gosiya,8631,tpi,False,UNKNOWN,ltr
dob-x-kaugehu,Pacific,PG,Kaugehu,Kaugehu,8632,tpi,False,UNKNOWN,ltr
doc,Asia,CN,北侗語,"Dong, Northern",1595,zh,False,doc,ltr
doe,Africa,TZ,Doe,Doe,1596,sw,False,doe,ltr
dof,Pacific,PG,Domu,Domu,1597,tpi,False,dof,ltr
doh,Africa,NG,Dong,Dong,1598,en,False,doh,ltr
doi,Asia,IN,Dogri (macrolanguage),Dogri,1599,hi,False,doi,ltr
dok,Asia,ID,Dondo,Dondo,1600,id,False,dok,ltr
dol,Pacific,PG,Doso,Doso,1601,tpi,False,dol,ltr
don,Pacific,PG,Toura (Papua New Guinea),Toura,1602,tpi,False,don,ltr
doo,Africa,CD,Dongo,Dongo,1603,fr,False,doo,ltr
dop,Africa,BJ,Lukpa,Lukpa,1604,fr,False,dop,ltr
doq,Americas,DO,Dominican Sign Language,Dominican Sign Language,1605,es-419,False,doq,ltr
dor,Pacific,SB,Dori'o,Dori’o,1606,pis,False,dor,ltr
dos,Africa,BF,Dogosé,Dogosé,1607,fr,False,dos,ltr
dot,Africa,NG,Dass,Dass,1608,en,False,dot,ltr
dov,Africa,ZW,Tonga,Dombe,1609,en,False,dov,ltr
dow,Africa,CM,Doyayo,Doyayo,1610,fr,False,dow,ltr
dox,Africa,ET,Bussa,Bussa,1611,am,False,dox,ltr
doy,Africa,GH,Dompo,Dompo,1612,en,False,doy,ltr
doz,Africa,ET,Dorze,Dorze,1613,am,False,doz,ltr
dpp,Asia,MY,Papar,Papar,1614,ms,False,dpp,ltr
drb,Africa,SD,Dair,Dair,1615,ar,False,drb,ltr
drc,Europe,PT,Minderico,Minderico,1616,pt,False,drc,ltr
drd,Asia,IN,Darmiya,Darmiya,1617,hi,False,drd,ltr
dre,Asia,NP,Dolpo,Dolpo,1618,ne,False,dre,ltr
drg,Asia,MY,Rungus,Rungus,1619,ms,False,drg,ltr
drg-x-gonsomon,Asia,MY,Gonsomon,Gonsomon,8391,ms,False,UNKNOWN,ltr
drg-x-pilapazan,Asia,MY,Pilapazan,Pilapazan,8558,ms,False,UNKNOWN,ltr
dri,Africa,NG,C'lela,C’Lela,1620,en,False,dri,ltr
drl,Pacific,AU,Paakantyi,Paakantyi,1621,en,False,drl,ltr
drn,Asia,ID,West Damar,"Damar, West",1622,id,False,drn,ltr
dro,Asia,MY,Daro-Matu Melanau,"Melanau, Daro-Matu",1623,ms,False,dro,ltr
drq,Asia,NP,Dura,Dura,1624,ne,False,drq,ltr
drs,Africa,ET,Gedeo,Gedeo,1625,am,False,drs,ltr
drt,Europe,NL,Drents,Drents,1626,nl,False,drt,ltr
dru,Asia,TW,Rukai,Rukai,1627,zh,False,dru,ltr
dry,Asia,NP,Darai,Darai,1628,ne,False,dry,ltr
dsb,Europe,DE,Lower Sorbian,"Sorbian, Lower",1629,en,False,dsb,ltr
dse,Europe,NL,Dutch Sign Language,Sign Language of the Netherlands,1630,nl,False,dse,ltr
dsh,Africa,ET,Daasanach,Daasanach,1631,am,False,dsh,ltr
dsi,Africa,TD,Disa,Disa,1632,ar,False,dsi,ltr
dsl,Europe,DK,Danish Sign Language,Danish Sign Language,1633,en,False,dsl,ltr
dsn,Asia,ID,Dusner,Dusner,1634,id,False,dsn,ltr
dso,Asia,IN,Desiya,Desiya,1635,or,False,dso,ltr
dsq,Africa,ML,Tadaksahak,Tadaksahak,1636,fr,False,dsq,ltr
dta,Asia,CN,达斡尔语,Daur,1637,zh,False,dta,ltr
dtb,Asia,MY,Labuk-Kinabatangan Kadazan,"Kadazan, Labuk-Kinabatangan",1638,ms,False,dtb,ltr
dtd,Americas,CA,Ditidaht,Ditidaht,1639,en,False,dtd,ltr
dti,Africa,ML,Ana Tinga Dogon,"Dogon, Ana Tinga",1640,fr,False,dti,ltr
dtk,Africa,ML,Tene Kan Dogon,"Dogon, Tene Kan",1641,fr,False,dtk,ltr
dtm,Africa,ML,Tomo Kan Dogon,"Dogon, Tomo Kan",1642,fr,False,dtm,ltr
dto,Africa,ML,Tommo So Dogon,"Dogon, Tommo So",1643,fr,False,dto,ltr
dtp,Asia,MY,Central Dusun,"Dusun, Central",1644,ms,False,dtp,ltr
dtp-x-tindal,Asia,MY,Tindal,Tindal,8559,ms,False,UNKNOWN,ltr
dtr,Asia,MY,Lotud,Lotud,1645,ms,False,dtr,ltr
dts,Africa,ML,Toro So Dogon,"Dogon, Toro So",1646,fr,False,dts,ltr
dtt,Africa,ML,Toro Tegu Dogon,"Dogon, Toro Tegu",1647,fr,False,dtt,ltr
dtu,Africa,ML,Tebul Ure Dogon,"Dogon, Tebul Ure",1648,fr,False,dtu,ltr
dty,Asia,NP,डोटेली,Dotyali,1649,ne,False,dty,ltr
dua,Africa,CM,Duala,Duala,1650,fr,False,dua,ltr
dub,Asia,IN,Dubli,Dubli,1651,gu,False,dub,ltr
duc,Pacific,PG,Duna,Duna,1652,tpi,False,duc,ltr
dud,Africa,NG,Hun-Saare,Hun-Saare,1653,en,False,UNKNOWN,ltr
due,Asia,PH,Umiray Dumaget Agta,"Agta, Umiray Dumaget",1654,ilo,False,due,ltr
duf,Pacific,NC,Dumbea,Drubea,1655,en,False,duf,ltr
dug,Africa,KE,Duruma,Chiduruma,1656,sw,False,dug,ltr
duh,Asia,IN,Dungra Bhil,Dungra Bhil,1657,gu,False,duh,ltr
dui,Pacific,PG,Dumun,Dumun,1658,tpi,False,dui,ltr
duj,Pacific,AU,Dhuwal,Dhuwal,1659,en,False,UNKNOWN,ltr
duk,Pacific,PG,Uyajitaya,Uyajitaya,1660,tpi,False,duk,ltr
duk-x-buai,Pacific,PG,Buai,Buai,8421,tpi,False,UNKNOWN,ltr
duk-x-duduela,Pacific,PG,Duduela,Duduela,8420,tpi,False,UNKNOWN,ltr
dul,Asia,PH,Alabat Island Agta,"Agta, Alabat Island",1661,ilo,False,dul,ltr
dum,Europe,NL,Middle Dutch (ca. 1050-1350),Middle Dutch,1662,,False,dum,ltr
dun,Asia,ID,Dusun Deyah,Dusun Deyah,1663,id,False,dun,ltr
duo,Asia,PH,Dupaninan Agta,"Agta, Dupaninan",1664,ilo,False,duo,ltr
dup,Asia,ID,Duano,Duano,1665,id,False,dup,ltr
duq,Asia,ID,Dusun Malang,Dusun Malang,1666,id,False,duq,ltr
duq-x-dusunbayan,Asia,ID,Dusun Bayan,Dusun Bayan,8379,id,False,UNKNOWN,ltr
dur,Africa,CM,Dii,Dii,1667,fr,False,dur,ltr
dus,Asia,NP,Dumi,Dumi,1668,ne,False,dus,ltr
duu,Asia,CN,独龙语,Drung,1669,zh,False,duu,ltr
duv,Asia,ID,Duvle,Duvle,1670,id,False,duv,ltr
duw,Asia,ID,Dusun Witu,Dusun Witu,1671,id,False,duw,ltr
duw-x-dusunpepas,Asia,ID,Dusun Pepas,Dusun Pepas,8381,id,False,UNKNOWN,ltr
dux,Africa,ML,Duungooma,Duungooma,1672,fr,False,dux,ltr
dv,Asia,MV,ދިވެހި,"Divehi, Dhivehi, Maldivian",1673,ta,False,div,rtl
dva,Pacific,PG,Duau,Duau,1674,tpi,False,dva,ltr
